experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E2,sqlcoder,True,True,Q01,Easy,Occupancy,Which room has the highest occupancy?,1,,1,45.86,0,0.0,1,"SELECT pes_rooms.display_name, MAX(pes_all_readings.value) AS max_occupancy FROM pes_all_readings JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE pes_all_readings.is_orphan = FALSE AND pes_all_readings.is_valid = 'True' AND pes_all_readings.metric_name = 'occupancy' AND pes_all_readings.aggregation = 'max' GROUP BY pes_rooms.display_name ORDER BY max_occupancy DESC LIMIT 1;",
E2,sqlcoder,True,True,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,22.57,0,0.0,1,SELECT AVG(value) AS avg_co2 FROM pes_all_readings WHERE is_orphan = FALSE AND is_valid = 'TRUE' AND metric_name = 'co2',
E2,sqlcoder,True,True,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,22.38,0,0.0,23,"SELECT room_name, AVG(value) AS avg_temp FROM pes_all_readings WHERE metric_name = 'temp' AND aggregation = 'mean' AND is_orphan = FALSE AND is_valid = 'TRUE' GROUP BY room_name;",
E2,sqlcoder,True,True,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,1,39.34,0,0.0,1,"SELECT pes_rooms.display_name, AVG(pes_all_readings.value) AS avg_occupancy FROM pes_all_readings JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE pes_all_readings.metric_name = 'occupancy' AND pes_all_readings.is_orphan = FALSE AND pes_all_readings.is_valid = 'True' AND pes_all_readings.aggregation = 'mean' GROUP BY pes_rooms.display_name ORDER BY avg_occupancy ASC LIMIT 1;",
E2,sqlcoder,True,True,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,19.42,0,0.0,1,SELECT AVG(value) AS avg_humidity FROM pes_all_readings WHERE is_orphan = FALSE AND is_valid = 'TRUE' AND metric_name = 'humidity' AND aggregation = 'mean';,
E2,sqlcoder,True,True,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,1,,0,30.34,0,0.0,1,"SELECT pes_rooms.display_name, MAX(pes_all_readings.value) AS max_co2 FROM pes_all_readings JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE pes_all_readings.metric_name = 'co2' AND pes_all_readings.is_orphan = FALSE AND pes_all_readings.is_valid = 'TRUE' AND pes_all_readings.is_working = 'TRUE' GROUP BY pes_rooms.display_name ORDER BY max_co2 DESC LIMIT 1;",
E2,sqlcoder,True,True,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,1,31.58,0,0.0,5,"SELECT pes_rooms.room_name, AVG(pes_all_readings.value) AS avg_occupancy FROM pes_all_readings JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE is_orphan = FALSE AND is_valid = 'TRUE' AND metric_name = 'occupancy' AND aggregation = 'mean' GROUP BY pes_rooms.room_name ORDER BY avg_occupancy DESC LIMIT 5;",
E2,sqlcoder,True,True,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,1,,1,27.06,0,0.0,1,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings WHERE metric_name = 'temp' AND is_orphan = FALSE AND is_valid = 'TRUE' GROUP BY room_name HAVING AVG(value) > 23 ORDER BY avg_temp DESC.",
E2,sqlcoder,True,True,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,30.51,0,0.0,5,"SELECT pes_all_readings.room_name, AVG(pes_all_readings.value) AS avg_preservation_index FROM pes_all_readings WHERE pes_all_readings.metric_name = 'preservationIndex' AND pes_all_readings.is_orphan = FALSE AND pes_all_readings.is_valid = 'True' GROUP BY pes_all_readings.room_name ORDER BY avg_preservation_index DESC LIMIT 5;",
E2,sqlcoder,True,True,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,1,32.54,0,0.0,31,"SELECT room_name, AVG(value) AS avg_occupancy FROM pes_all_readings WHERE is_orphan = FALSE AND is_valid = 'TRUE' AND is_working = 'TRUE' AND metric_name = 'occupancy' GROUP BY room_name ORDER BY avg_occupancy DESC NULLS LAST;",
E2,sqlcoder,True,True,Q11,Medium,Device Health,Which sensors have a battery level below 20 percent?,1,,1,32.06,0,0.0,43215,"SELECT geometry_id, value FROM pes_all_readings WHERE is_orphan = FALSE AND is_valid = 'True' AND metric_name = 'batteryLevel' HAVING value < 20;",
E2,sqlcoder,True,True,Q12,Hard,CO2,Show me the daily average CO2 trend across all rooms for the last 7 days of data.,1,,0,39.18,0,0.0,19,"SELECT pes_all_readings.room_name, AVG(pes_all_readings.value) AS daily_avg_co2 FROM pes_all_readings WHERE pes_all_readings.metric_name = 'co2' AND pes_all_readings.is_orphan = FALSE AND pes_all_readings.start_time_utc >= (SELECT MAX(pes_all_readings.start_time_utc) FROM pes_all_readings WHERE pes_all_readings.metric_name = 'co2' AND pes_all_readings.is_orphan = FALSE AND pes_all_readings.is_valid = 'TRUE') GROUP BY pes_all_readings.room_name, DATE(pes_all_readings.start_time_utc) ORDER BY pes_all_readings.room_name ASC, DATE(pes_all_readings.start_time_utc) DESC;",
E2,sqlcoder,True,True,Q13,Hard,Occupancy,Which rooms had zero occupancy during working hours on more than 10 days?,1,,2,38.44,0,0.0,28,"SELECT room_name, start_time_utc, COUNT(*) AS num_days_with_0_occupancy FROM pes_all_readings WHERE is_orphan = FALSE AND is_valid = 'True' AND metric_name = 'occupancy' AND value = 0 AND is_working = 'True' GROUP BY room_name, start_time_utc HAVING COUNT(DISTINCT start_time_utc) > 10 ORDER BY num_days_with_0_occupancy DESC NULLS LAST;",
E2,sqlcoder,True,True,Q14,Hard,Building Health,Which rooms have the highest metal corrosion risk score?,0,,2,28.09,1,0.0,0,"SELECT room_name, geometry_id, value FROM pes_all_readings WHERE metric_name = 'metalCorrosion' AND is_orphan = FALSE AND is_valid = 'True' GROUP BY room_name HAVING MAX(value) > 2.5 LIMIT 5;",
