experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E5,gpt4,False,True,Q01,Easy,Occupancy,Which room has the highest occupancy?,1,,0,8.4,0,0.027,1,"SELECT    p1.display_name,   p2.room_name,   p2.value AS max_occupancy FROM    pes_rooms AS p1 INNER JOIN    pes_all_readings AS p2 ON    p1.geometry_id = p2.geometry_id WHERE    p2.is_orphan = FALSE    AND p2.is_valid = 'TRUE'   AND p2.metric_name = 'Occupancy'   AND p2.aggregation = 'max' ORDER BY    p2.value DESC LIMIT 1;",
E5,gpt4,False,True,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,8.66,0,0.027,1,SELECT AVG(value) AS avg_co2 FROM pes_all_readings WHERE metric_name = 'co2' AND is_orphan = FALSE AND is_valid = 'TRUE';,
E5,gpt4,False,True,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,8.29,0,0.027,23,"SELECT AVG(value) AS avg_temp, room_name FROM pes_all_readings INNER JOIN pes_rooms ON pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE metric_name = 'temp' AND aggregation = 'mean' AND is_orphan = FALSE AND is_valid = 'True' GROUP BY room_name;",
E5,gpt4,False,True,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,0,18.17,0,0.027,1,"SELECT      pes_rooms.display_name,     AVG(pes_all_readings.value) AS avg_occupancy FROM      pes_rooms INNER JOIN      pes_all_readings  ON      pes_rooms.geometry_id = pes_all_readings.geometry_id  WHERE      pes_all_readings.is_orphan = FALSE AND      pes_all_readings.is_valid = 'TRUE' AND     pes_all_readings.metric_name = 'Occupancy' AND     pes_all_readings.aggregation = 'mean' GROUP BY      pes_rooms.display_name HAVING      AVG(pes_all_readings.value) = (         SELECT              MIN(avg_occupancy)         FROM (             SELECT                  AVG(pes_all_readings.value) AS avg_occupancy             FROM                  pes_all_readings             WHERE                  pes_all_readings.is_orphan = FALSE              AND                  pes_all_readings.is_valid = 'TRUE'             AND                 pes_all_readings.metric_name = 'Occupancy'             AND                 pes_all_readings.aggregation = 'mean'             GROUP BY                  pes_all_readings.room_name         ) sub_query)  LIMIT 1;",
E5,gpt4,False,True,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,9.11,0,0.027,23,"SELECT room_name, AVG(value) AS avg_humidity  FROM pes_all_readings  WHERE is_orphan = FALSE  AND is_valid = 'TRUE'  AND metric_name = 'humidity' GROUP BY room_name;",
E5,gpt4,False,True,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,1,,0,9.28,0,0.027,1,"SELECT      pr.display_name AS room_name,      MAX(par.value) AS max_co2_value  FROM      pes_rooms pr  JOIN      pes_all_readings par  ON      pr.geometry_id = par.geometry_id  WHERE      par.metric_name = 'co2'     AND par.aggregation = 'max'     AND par.is_orphan = FALSE      AND par.is_valid = 'TRUE'      AND par.is_working = 'TRUE'  GROUP BY      pr.display_name  ORDER BY      max_co2_value DESC  LIMIT 1;",
E5,gpt4,False,True,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,0,13.22,0,0.027,5,"SELECT r.display_name, AVG(a.value) AS avg_occupancy FROM pes_rooms r JOIN pes_all_readings a ON r.geometry_id = a.geometry_id WHERE a.is_orphan = FALSE AND        a.is_valid = 'TRUE' AND        a.metric_name = 'Occupancy' AND        a.aggregation = 'mean' GROUP BY r.display_name ORDER BY avg_occupancy DESC LIMIT 5;",
E5,gpt4,False,True,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,1,,0,10.38,0,0.027,1,"SELECT      pes_rooms.display_name,      AVG(pes_all_readings.value) AS avg_temp FROM      pes_rooms JOIN      pes_all_readings ON      pes_rooms.geometry_id = pes_all_readings.geometry_id WHERE      pes_all_readings.metric_name = 'temp'      AND pes_all_readings.is_orphan = FALSE      AND pes_all_readings.is_valid = 'TRUE' GROUP BY      pes_rooms.display_name HAVING      AVG(pes_all_readings.value) > 23 ORDER BY      avg_temp DESC;",
E5,gpt4,False,True,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,8.86,0,0.027,5,"SELECT      r.display_name AS room,     MAX(a.value) AS max_preservation_index FROM      pes_rooms r  JOIN      pes_all_readings a ON r.geometry_id = a.geometry_id WHERE      a.is_orphan = FALSE      AND a.is_valid = 'TRUE'      AND a.metric_name = 'preservationIndex'      AND a.aggregation = 'max' GROUP BY      r.display_name ORDER BY      max_preservation_index DESC LIMIT 5;",
E5,gpt4,False,True,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,0,10.4,0,0.027,31,"SELECT      pes_all_readings.room_name,      ROUND(AVG(pes_all_readings.value), 2) AS avg_occupancy  FROM      pes_all_readings  JOIN      pes_rooms  ON      pes_all_readings.geometry_id = pes_rooms.geometry_id  WHERE      pes_all_readings.is_orphan = FALSE      AND pes_all_readings.is_valid = 'TRUE'      AND pes_all_readings.metric_name = 'Occupancy'      AND pes_all_readings.is_working = 'TRUE'  GROUP BY      pes_all_readings.room_name;",
