experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E3,gemma3,True,True,Q01,Easy,Occupancy,Which room has the highest occupancy?,1,,0,24.68,0,0.0,1,"SELECT   r.display_name,   MAX(pa.value) AS max_occupancy FROM pes_all_readings pa JOIN pes_rooms r   ON pa.geometry_id = r.geometry_id WHERE   pa.is_orphan = FALSE AND pa.is_valid = 'TRUE' AND pa.metric_name = 'Occupancy' GROUP BY   r.display_name ORDER BY   max_occupancy DESC LIMIT 1",
E3,gemma3,True,True,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,14.39,0,0.0,23,"SELECT   room_name,   ROUND(AVG(value)::numeric, 2) AS avg_co2 FROM   pes_all_readings WHERE   metric_name = 'co2'   AND is_orphan = FALSE   AND is_valid = 'TRUE' GROUP BY   room_name",
E3,gemma3,True,True,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,19.77,0,0.0,1,"SELECT   ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings WHERE   metric_name = 'temp'   AND is_orphan = FALSE   AND is_valid = 'TRUE'",
E3,gemma3,True,True,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,0,18.86,0,0.0,1,"SELECT   room_name,   AVG(value) AS avg_occupancy FROM pes_all_readings WHERE   is_orphan = FALSE   AND is_valid = 'TRUE'   AND metric_name = 'Occupancy'   AND aggregation = 'mean' GROUP BY   room_name ORDER BY   avg_occupancy ASC LIMIT 1",
E3,gemma3,True,True,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,16.34,0,0.0,23,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_humidity FROM pes_all_readings WHERE metric_name = 'humidity'   AND is_orphan = FALSE   AND is_valid = 'TRUE' GROUP BY room_name",
E3,gemma3,True,True,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,1,,0,18.08,0,0.0,1,"SELECT   room_name,   MAX(value) AS max_co2 FROM pes_all_readings WHERE   is_orphan = FALSE   AND is_valid = 'TRUE'   AND metric_name = 'co2'   AND aggregation = 'max' GROUP BY   room_name ORDER BY   max_co2 DESC LIMIT 1",
E3,gemma3,True,True,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,0,22.64,0,0.0,5,"SELECT   room_name,   ROUND(AVG(value)::numeric, 2) AS avg_occupancy FROM pes_all_readings WHERE   is_orphan = FALSE   AND is_valid = 'TRUE'   AND metric_name = 'Occupancy' GROUP BY   room_name ORDER BY   avg_occupancy DESC LIMIT 5",
E3,gemma3,True,True,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,1,,0,27.16,0,0.0,1,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings WHERE is_orphan = FALSE   AND is_valid = 'TRUE'   AND metric_name = 'temp'   AND aggregation = 'mean' GROUP BY room_name HAVING AVG(value) > 23 ORDER BY avg_temp DESC;",
E3,gemma3,True,True,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,16.98,0,0.0,1,"SELECT   room_name,   value AS preservation_index FROM pes_all_readings WHERE   metric_name = 'preservationIndex'   AND is_orphan = FALSE   AND is_valid = 'TRUE' ORDER BY   value DESC LIMIT 1",
E3,gemma3,True,True,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,0,18.24,0,0.0,31,"SELECT   room_name,   AVG(value) AS avg_occupancy FROM pes_all_readings WHERE   metric_name = 'Occupancy'   AND aggregation = 'mean'   AND is_orphan = FALSE   AND is_valid = 'TRUE' GROUP BY   room_name;",
