experiment,model,use_rag,use_validator,query_id,difficulty,category,question,ea,sa,arc,latency,err,cpq,rows,sql,error_msg
E4,gpt4,True,True,Q01,Easy,Occupancy,Which room has the highest occupancy?,1,,0,12.89,0,0.027,1,"SELECT pes_rooms.display_name, MAX(pes_all_readings.value) AS max_occupancy  FROM pes_all_readings  JOIN pes_rooms  ON pes_all_readings.geometry_id = pes_rooms.geometry_id  WHERE pes_all_readings.is_orphan = FALSE  AND pes_all_readings.is_valid = 'TRUE'  AND pes_all_readings.metric_name = 'Occupancy'  GROUP BY pes_rooms.display_name  ORDER BY max_occupancy DESC  LIMIT 1;",
E4,gpt4,True,True,Q02,Easy,CO2,What is the average CO2 level across all rooms?,1,,0,6.24,0,0.027,1,SELECT AVG(value) AS average_co2  FROM pes_all_readings WHERE metric_name = 'co2' AND is_orphan = FALSE AND is_valid = 'TRUE',
E4,gpt4,True,True,Q03,Easy,Temperature,What is the average temperature across all rooms?,1,,0,5.64,0,0.027,1,"SELECT ROUND(AVG(value)::numeric, 2) AS avg_temp  FROM pes_all_readings  WHERE metric_name = 'temp'  AND is_orphan = FALSE  AND is_valid = 'TRUE'",
E4,gpt4,True,True,Q04,Easy,Occupancy,Which room is the least utilised on average?,1,,0,8.84,0,0.027,1,"SELECT pes_rooms.display_name, AVG(pes_all_readings.value) AS avg_occupancy FROM pes_all_readings  JOIN pes_rooms  ON pes_rooms.geometry_id = pes_all_readings.geometry_id  WHERE pes_all_readings.metric_name = 'Occupancy'  AND pes_all_readings.is_orphan = FALSE  AND pes_all_readings.is_valid = 'TRUE' GROUP BY pes_rooms.display_name  ORDER BY avg_occupancy ASC  LIMIT 1;",
E4,gpt4,True,True,Q05,Easy,Humidity,What is the average humidity across all rooms?,1,,0,8.05,0,0.027,1,SELECT AVG(value) AS avg_humidity  FROM pes_all_readings  WHERE metric_name = 'humidity'  AND is_orphan = FALSE  AND is_valid = 'TRUE'  AND aggregation = 'mean';,
E4,gpt4,True,True,Q06,Medium,CO2,Which room had the highest CO2 reading during working hours?,1,,0,12.7,0,0.027,1,"SELECT pes_all_readings.room_name, pes_rooms.display_name, MAX(value) AS max_co2  FROM pes_all_readings  JOIN pes_rooms  ON pes_rooms.geometry_id = pes_all_readings.geometry_id  WHERE pes_all_readings.metric_name = 'co2'  AND pes_all_readings.is_valid = 'TRUE'  AND pes_all_readings.is_orphan = FALSE  AND pes_all_readings.aggregation = 'max'  GROUP BY pes_all_readings.room_name, pes_rooms.display_name  ORDER BY max_co2 DESC  LIMIT 1;",
E4,gpt4,True,True,Q07,Medium,Occupancy,What are the top 5 most occupied rooms on average?,1,,0,14.44,0,0.027,5,"SELECT room_name, AVG(value) AS avg_occupancy  FROM pes_all_readings  WHERE metric_name = 'Occupancy' AND is_orphan = FALSE AND is_valid = 'TRUE' AND aggregation = 'mean'  GROUP BY room_name  ORDER BY avg_occupancy DESC  LIMIT 5",
E4,gpt4,True,True,Q08,Medium,Temperature,Which rooms have an average temperature above 23 degrees?,1,,0,11.71,0,0.027,1,"SELECT room_name, ROUND(AVG(value)::numeric, 2) AS avg_temp FROM pes_all_readings WHERE metric_name = 'temp' AND is_orphan = FALSE AND is_valid = 'TRUE' GROUP BY room_name HAVING AVG(value) > 23 ORDER BY avg_temp DESC;",
E4,gpt4,True,True,Q09,Medium,Building Health,Which rooms have the highest preservation index?,1,,0,16.96,0,0.027,5,"SELECT      pes_all_readings.room_name,      ROUND(AVG(pes_all_readings.value)::numeric, 2) AS avg_preservation_index FROM      pes_all_readings  INNER JOIN      pes_rooms  ON      pes_all_readings.geometry_id = pes_rooms.geometry_id  WHERE      pes_all_readings.is_orphan = FALSE      AND pes_all_readings.is_valid = 'TRUE'      AND pes_all_readings.metric_name = 'preservationIndex' GROUP BY      pes_all_readings.room_name  ORDER BY      avg_preservation_index DESC  LIMIT 5;",
E4,gpt4,True,True,Q10,Medium,Occupancy,Show me the average occupancy per room during working hours only.,1,,0,10.86,0,0.027,10,"SELECT    pes_all_readings.room_name,    AVG(pes_all_readings.value) AS avg_value FROM    pes_all_readings JOIN    pes_rooms ON    pes_all_readings.geometry_id = pes_rooms.geometry_id WHERE    pes_all_readings.metric_name = 'Occupancy'   AND pes_all_readings.is_orphan = FALSE   AND pes_all_readings.is_valid = 'TRUE'   AND pes_all_readings.aggregation = 'mean' GROUP BY    pes_all_readings.room_name LIMIT   10;",
